Title,PMID,Abstract,Spearman or Pearson,text
Alchemical Grid Dock (AlGDock) calculations in the D3R Grand Challenge 3 : Binding free energies between flexible ligands and rigid receptors.,30084078,"We participated in Subchallenges 1 and 2 of the Drug Design Data Resource (D3R) Grand Challenge 3. To prepare our submissions, we performed molecular docking with UCSF DOCK 6 and binding potential of mean force (BPMF) calculations-free energy calculations between flexible ligands and rigid
receptors-using our open-source software package Alchemical Grid Dock (AlGDock). For each system, submissions were based on the minimum BPMF calculated for a selected set of crystal structures. In Subchallenge 1, our workflow performed poorly. Possible reasons for the poor performance include the
neglect of cooperative ligands and limited sampling of ligand binding poses. In Subchallenge 2, our workflow led to some of most highly correlated submissions (Pearson R = 0.5) for vascular endothelial growth factor receptor 2. However, our results were poorly correlated for Janus Kinase 2 and
Mitogen-activated protein kinase 14. Affinity prediction could potentially be improved by systematic selection of more diverse receptor configurations.",1,"Alchemical Grid Dock (AlGDock) calculations in the D3R Grand Challenge 3 : Binding free energies between flexible ligands and rigid receptors. We participated in Subchallenges 1 and 2 of the Drug Design Data Resource (D3R) Grand Challenge 3. To prepare our submissions, we performed molecular docking with UCSF DOCK 6 and binding potential of mean force (BPMF) calculations-free energy calculations between flexible ligands and rigid
receptors-using our open-source software package Alchemical Grid Dock (AlGDock). For each system, submissions were based on the minimum BPMF calculated for a selected set of crystal structures. In Subchallenge 1, our workflow performed poorly. Possible reasons for the poor performance include the
neglect of cooperative ligands and limited sampling of ligand binding poses. In Subchallenge 2, our workflow led to some of most highly correlated submissions (Pearson R = 0.5) for vascular endothelial growth factor receptor 2. However, our results were poorly correlated for Janus Kinase 2 and
Mitogen-activated protein kinase 14. Affinity prediction could potentially be improved by systematic selection of more diverse receptor configurations."
A Comparative Assessment of Predictive Accuracies of Conventional and Machine Learning Scoring Functions for Protein-Ligand Binding Affinity Prediction.,26357221,"Accurately predicting the binding affinities of large diverse sets of protein-ligand complexes efficiently is a key challenge in computational biomolecular science, with applications in drug discovery, chemical biology, and structural biology. Since a scoring function (SF) is used to
score, rank, and identify potential drug leads, the fidelity with which it predicts the affinity of a ligand candidate for a protein's binding site has a significant bearing on the accuracy of virtual screening. Despite intense efforts in developing conventional SFs, which are either force-field
based, knowledge-based, or empirical, their limited predictive accuracy has been a major roadblock toward cost-effective drug discovery. Therefore, in this work, we explore a range of novel SFs employing different machine-learning (ML) approaches in conjunction with a variety of physicochemical and
geometrical features characterizing protein-ligand complexes. We assess the scoring accuracies of these new ML SFs as well as those of conventional SFs in the context of the 2007 and 2010 PDBbind benchmark datasets on both diverse and protein-family-specific test sets. We also investigate the
influence of the size of the training dataset and the type and number of features used on scoring accuracy. We find that the best performing ML SF has a Pearson correlation coefficient of 0.806 between predicted and measured binding affinities compared to 0.644 achieved by a state-of-the-art
conventional SF. We also find that ML SFs benefit more than their conventional counterparts from increases in the number of features and the size of training dataset. In addition, they perform better on novel proteins that they were never trained on before.",1,"A Comparative Assessment of Predictive Accuracies of Conventional and Machine Learning Scoring Functions for Protein-Ligand Binding Affinity Prediction. Accurately predicting the binding affinities of large diverse sets of protein-ligand complexes efficiently is a key challenge in computational biomolecular science, with applications in drug discovery, chemical biology, and structural biology. Since a scoring function (SF) is used to
score, rank, and identify potential drug leads, the fidelity with which it predicts the affinity of a ligand candidate for a protein's binding site has a significant bearing on the accuracy of virtual screening. Despite intense efforts in developing conventional SFs, which are either force-field
based, knowledge-based, or empirical, their limited predictive accuracy has been a major roadblock toward cost-effective drug discovery. Therefore, in this work, we explore a range of novel SFs employing different machine-learning (ML) approaches in conjunction with a variety of physicochemical and
geometrical features characterizing protein-ligand complexes. We assess the scoring accuracies of these new ML SFs as well as those of conventional SFs in the context of the 2007 and 2010 PDBbind benchmark datasets on both diverse and protein-family-specific test sets. We also investigate the
influence of the size of the training dataset and the type and number of features used on scoring accuracy. We find that the best performing ML SF has a Pearson correlation coefficient of 0.806 between predicted and measured binding affinities compared to 0.644 achieved by a state-of-the-art
conventional SF. We also find that ML SFs benefit more than their conventional counterparts from increases in the number of features and the size of training dataset. In addition, they perform better on novel proteins that they were never trained on before."
Drug-target interactions prediction via deep collaborative filtering with multiembeddings.,35043158,"Drug-target interactions (DTIs) prediction research presents important significance for promoting the development of modern medicine and pharmacology. Traditional biochemical experiments for DTIs prediction confront the challenges including long time period, high cost and high failure
rate, and finally leading to a low-drug productivity. Chemogenomic-based computational methods can realize high-throughput prediction. In this study, we develop a deep collaborative filtering prediction model with multiembeddings, named DCFME (deep collaborative filtering prediction model with
multiembeddings), which can jointly utilize multiple feature information from multiembeddings. Two different representation learning algorithms are first employed to extract heterogeneous network features. DCFME uses the generated low-dimensional dense vectors as input, and then simulates the
drug-target relationship from the perspective of both couplings and heterogeneity. In addition, the model employs focal loss that concentrates the loss on sparse and hard samples in the training process. Comparative experiments with five baseline methods show that DCFME achieves more significant
performance improvement on sparse datasets. Moreover, the model has better robustness and generalization capacity under several harder prediction scenarios.",0,"Drug-target interactions prediction via deep collaborative filtering with multiembeddings. Drug-target interactions (DTIs) prediction research presents important significance for promoting the development of modern medicine and pharmacology. Traditional biochemical experiments for DTIs prediction confront the challenges including long time period, high cost and high failure
rate, and finally leading to a low-drug productivity. Chemogenomic-based computational methods can realize high-throughput prediction. In this study, we develop a deep collaborative filtering prediction model with multiembeddings, named DCFME (deep collaborative filtering prediction model with
multiembeddings), which can jointly utilize multiple feature information from multiembeddings. Two different representation learning algorithms are first employed to extract heterogeneous network features. DCFME uses the generated low-dimensional dense vectors as input, and then simulates the
drug-target relationship from the perspective of both couplings and heterogeneity. In addition, the model employs focal loss that concentrates the loss on sparse and hard samples in the training process. Comparative experiments with five baseline methods show that DCFME achieves more significant
performance improvement on sparse datasets. Moreover, the model has better robustness and generalization capacity under several harder prediction scenarios."
Prediction of Drug-Target Interactions Based on Network Representation Learning and Ensemble Learning.,32340959,"Identifying interactions between drugs and target proteins is a critical step in the drug development process, as it helps identify new targets for drugs and accelerate drug development. The number of known drug-protein interactions (positive samples) is much lower than that of the unknown
ones (negative samples), which forms a class imbalance. Most previous methods only utilised part of the negative samples to train the prediction model, so most of the information on negative samples was neglected. Therefore, a new method must be developed to predict candidate drug-related proteins
and fully utilise negative samples to improve prediction performance. We present a method based on non-negative matrix factorisation and gradient boosting decision tree (GBDT), named NGDTP, to identify the candidate drug-protein interactions. NGDTP integrates multiple kinds of protein similarities,
drugs-proteins interactions, and multiple kinds of drugs similarities at different levels, including target proteins of drugs, drug-related diseases, and side effects of drugs. We propose a network representation learning method based on matrix factorisation to learn low-dimensional vector
representations of drug and protein nodes. On the basis of these low-dimensional node representations, a GBDT-based prediction model was constructed and it obtains the association scores through establishing multiple decision trees for a drug-protein pairs. NGDTP is an ensemble learning model that
fully utilises all the negative samples to effectively alleviate the problem of class imbalance. NGDTP achieves superior prediction performance when it is compared with several state-of-the-art methods. The experimental results indicate that NGDTP also retrieves more actual drug-protein interactions
in the top part of prediction result, which drew significant attention from the biologists. In addition, case studies on 10 drugs further confirmed the ability of the NGDTP to identify potential candidate proteins for drugs.",0,"Prediction of Drug-Target Interactions Based on Network Representation Learning and Ensemble Learning. Identifying interactions between drugs and target proteins is a critical step in the drug development process, as it helps identify new targets for drugs and accelerate drug development. The number of known drug-protein interactions (positive samples) is much lower than that of the unknown
ones (negative samples), which forms a class imbalance. Most previous methods only utilised part of the negative samples to train the prediction model, so most of the information on negative samples was neglected. Therefore, a new method must be developed to predict candidate drug-related proteins
and fully utilise negative samples to improve prediction performance. We present a method based on non-negative matrix factorisation and gradient boosting decision tree (GBDT), named NGDTP, to identify the candidate drug-protein interactions. NGDTP integrates multiple kinds of protein similarities,
drugs-proteins interactions, and multiple kinds of drugs similarities at different levels, including target proteins of drugs, drug-related diseases, and side effects of drugs. We propose a network representation learning method based on matrix factorisation to learn low-dimensional vector
representations of drug and protein nodes. On the basis of these low-dimensional node representations, a GBDT-based prediction model was constructed and it obtains the association scores through establishing multiple decision trees for a drug-protein pairs. NGDTP is an ensemble learning model that
fully utilises all the negative samples to effectively alleviate the problem of class imbalance. NGDTP achieves superior prediction performance when it is compared with several state-of-the-art methods. The experimental results indicate that NGDTP also retrieves more actual drug-protein interactions
in the top part of prediction result, which drew significant attention from the biologists. In addition, case studies on 10 drugs further confirmed the ability of the NGDTP to identify potential candidate proteins for drugs."
Development and Evaluation of MM/GBSA Based on a Variable Dielectric GB Model for Predicting Protein-Ligand Binding Affinities.,32175734,"In structure-based drug design (SBDD), the molecular mechanics generalized Born surface area (MM/GBSA) approach has been widely used in ranking the binding affinity of small molecule ligands. However, an accurate estimation of protein-ligand binding affinity still remains a challenge due
to the intrinsic limitation of the standard generalized Born (GB) model used in MM/GBSA. In this study, we proposed and evaluated the MM/GBSA approach based on a variable dielectric generalized Born (VDGB) model using residue-type-based dielectric constants. In the VDGB model, different dielectric
values were assigned for the three types of protein residues, and the magnitude of the dielectric constants for residue types follows this order: charged ≥ polar ≥ nonpolar. We found that MM/GBSA based on a VDGB model (MM/GBSA<sub>VDGB</sub>) with an optimal dielectric constant of 4.0 for the
charged residues and 1.0 for the noncharged residues together with a net-charge-dependent dielectric value for ligands achieved better predictions as judged by Pearson's correlation coefficient than the standard MM/GBSA with a uniform solute dielectric constant of 4.0 for the training set of 130
protein-ligand complexes. The prediction on the test set with 165 protein-ligand complexes also validated the better performance of MM/GBSA<sub>VDGB</sub>. Moreover, this method exhibited potential in predicting the relative binding free energies for multiple ligands against the same target.
Furthermore, we found that rational truncation of protein residues far from the binding site can significantly speed up the MM/GBSA<sub>VDGB</sub> calculations, while it almost does not influence the prediction accuracy. Therefore, it is feasible to implement the system-truncated
MM/GBSA<sub>VDGB</sub> as a scoring function for SBDD.",1,"Development and Evaluation of MM/GBSA Based on a Variable Dielectric GB Model for Predicting Protein-Ligand Binding Affinities. In structure-based drug design (SBDD), the molecular mechanics generalized Born surface area (MM/GBSA) approach has been widely used in ranking the binding affinity of small molecule ligands. However, an accurate estimation of protein-ligand binding affinity still remains a challenge due
to the intrinsic limitation of the standard generalized Born (GB) model used in MM/GBSA. In this study, we proposed and evaluated the MM/GBSA approach based on a variable dielectric generalized Born (VDGB) model using residue-type-based dielectric constants. In the VDGB model, different dielectric
values were assigned for the three types of protein residues, and the magnitude of the dielectric constants for residue types follows this order: charged ≥ polar ≥ nonpolar. We found that MM/GBSA based on a VDGB model (MM/GBSA<sub>VDGB</sub>) with an optimal dielectric constant of 4.0 for the
charged residues and 1.0 for the noncharged residues together with a net-charge-dependent dielectric value for ligands achieved better predictions as judged by Pearson's correlation coefficient than the standard MM/GBSA with a uniform solute dielectric constant of 4.0 for the training set of 130
protein-ligand complexes. The prediction on the test set with 165 protein-ligand complexes also validated the better performance of MM/GBSA<sub>VDGB</sub>. Moreover, this method exhibited potential in predicting the relative binding free energies for multiple ligands against the same target.
Furthermore, we found that rational truncation of protein residues far from the binding site can significantly speed up the MM/GBSA<sub>VDGB</sub> calculations, while it almost does not influence the prediction accuracy. Therefore, it is feasible to implement the system-truncated
MM/GBSA<sub>VDGB</sub> as a scoring function for SBDD."
Practical Guidance for Consensus Scoring and Force Field Selection in Protein-Ligand Binding Free Energy Simulations.,36399655,"The advances in ligand binding affinity prediction have been fostered by system generation tools and improved force fields (FFs). CHARMM-GUI <i>Free Energy Calculator</i> provides input and postprocessing scripts for AMBER-TI free energy calculations with various FFs. In this study, we
used 12 different FF combinations (ff14SB and ff19SB for protein, GAFF2.2 and OpenFF for ligand, and TIP3P, TIP4PEW, and OPC for water) to calculate relative binding free energies (ΔΔ<i>G</i><sub>bind</sub>) for 80 alchemical transformations (among the JACS benchmark set) with different numbers of λ
windows (12 or 21) and simulation times (1, 5, or 10 ns). Our results show that 12 λ windows and 5 ns simulation time for each window are sufficient to obtain reliable ΔΔ<i>G</i><sub>bind</sub> with 4 independent runs for the current benchmark set. While there is no statistically noticeable
performance difference among 12 different FF combinations compared to the experimental values, a combination of ff14SB + GAFF2.2 + TIP3P FFs appears to be best with a mean unsigned error of 0.87 [0.69, 1.07] kcal/mol, a root-mean-square error of 1.22 [0.94, 1.50] kcal/mol, a Pearson's correlation of
0.64 [0.52, 0.76], a Spearman's correlation of 0.73 [0.58, 0.83], and a Kendell's correlation of 0.54 [0.42, 0.64]. This large-scale ΔΔ<i>G</i><sub>bind</sub> calculation study provides useful information about ΔΔ<i>G</i><sub>bind</sub> prediction with different AMBER FF combinations and presents
valuable suggestions for FF selection in AMBER-TI ΔΔ<i>G</i><sub>bind</sub> calculations.",1,"Practical Guidance for Consensus Scoring and Force Field Selection in Protein-Ligand Binding Free Energy Simulations. The advances in ligand binding affinity prediction have been fostered by system generation tools and improved force fields (FFs). CHARMM-GUI <i>Free Energy Calculator</i> provides input and postprocessing scripts for AMBER-TI free energy calculations with various FFs. In this study, we
used 12 different FF combinations (ff14SB and ff19SB for protein, GAFF2.2 and OpenFF for ligand, and TIP3P, TIP4PEW, and OPC for water) to calculate relative binding free energies (ΔΔ<i>G</i><sub>bind</sub>) for 80 alchemical transformations (among the JACS benchmark set) with different numbers of λ
windows (12 or 21) and simulation times (1, 5, or 10 ns). Our results show that 12 λ windows and 5 ns simulation time for each window are sufficient to obtain reliable ΔΔ<i>G</i><sub>bind</sub> with 4 independent runs for the current benchmark set. While there is no statistically noticeable
performance difference among 12 different FF combinations compared to the experimental values, a combination of ff14SB + GAFF2.2 + TIP3P FFs appears to be best with a mean unsigned error of 0.87 [0.69, 1.07] kcal/mol, a root-mean-square error of 1.22 [0.94, 1.50] kcal/mol, a Pearson's correlation of
0.64 [0.52, 0.76], a Spearman's correlation of 0.73 [0.58, 0.83], and a Kendell's correlation of 0.54 [0.42, 0.64]. This large-scale ΔΔ<i>G</i><sub>bind</sub> calculation study provides useful information about ΔΔ<i>G</i><sub>bind</sub> prediction with different AMBER FF combinations and presents
valuable suggestions for FF selection in AMBER-TI ΔΔ<i>G</i><sub>bind</sub> calculations."
Optimal affinity ranking for automated virtual screening validated in prospective D3R grand challenges.,28918599,"The goal of virtual screening is to generate a substantially reduced and enriched subset of compounds from a large virtual chemistry space. Critical in these efforts are methods to properly rank the binding affinity of compounds. Prospective evaluations of ranking strategies in the D3R
grand challenges show that for targets with deep pockets the best correlations (Spearman ρ ~ 0.5) were obtained by our submissions that docked compounds to the holo-receptors with the most chemically similar ligand. On the other hand, for targets with open pockets using multiple receptor structures
is not a good strategy. Instead, docking to a single optimal receptor led to the best correlations (Spearman ρ ~ 0.5), and overall performs better than any other method. Yet, choosing a suboptimal receptor for crossdocking can significantly undermine the affinity rankings. Our submissions that
evaluated the free energy of congeneric compounds were also among the best in the community experiment. Error bars of around 1 kcal/mol are still too large to significantly improve the overall rankings. Collectively, our top of the line predictions show that automated virtual screening with rigid
receptors perform better than flexible docking and other more complex methods.",1,"Optimal affinity ranking for automated virtual screening validated in prospective D3R grand challenges. The goal of virtual screening is to generate a substantially reduced and enriched subset of compounds from a large virtual chemistry space. Critical in these efforts are methods to properly rank the binding affinity of compounds. Prospective evaluations of ranking strategies in the D3R
grand challenges show that for targets with deep pockets the best correlations (Spearman ρ ~ 0.5) were obtained by our submissions that docked compounds to the holo-receptors with the most chemically similar ligand. On the other hand, for targets with open pockets using multiple receptor structures
is not a good strategy. Instead, docking to a single optimal receptor led to the best correlations (Spearman ρ ~ 0.5), and overall performs better than any other method. Yet, choosing a suboptimal receptor for crossdocking can significantly undermine the affinity rankings. Our submissions that
evaluated the free energy of congeneric compounds were also among the best in the community experiment. Error bars of around 1 kcal/mol are still too large to significantly improve the overall rankings. Collectively, our top of the line predictions show that automated virtual screening with rigid
receptors perform better than flexible docking and other more complex methods."
Machine Learning on Human Muscle Transcriptomic Data for Biomarker Discovery and Tissue-Specific Drug Target Identification.,30050560,"For the past several decades, research in understanding the molecular basis of human muscle aging has progressed significantly. However, the development of accessible tissue-specific biomarkers of human muscle aging that may be measured to evaluate the effectiveness of therapeutic
interventions is still a major challenge. Here we present a method for tracking age-related changes of human skeletal muscle. We analyzed publicly available gene expression profiles of young and old tissue from healthy donors. Differential gene expression and pathway analysis were performed to
compare signatures of young and old muscle tissue and to preprocess the resulting data for a set of machine learning algorithms. Our study confirms the established mechanisms of human skeletal muscle aging, including dysregulation of cytosolic Ca<sup>2+</sup> homeostasis, PPAR signaling and
neurotransmitter recycling along with IGFR and PI3K-Akt-mTOR signaling. Applying several supervised machine learning techniques, including neural networks, we built a panel of tissue-specific biomarkers of aging. Our predictive model achieved 0.91 Pearson correlation with respect to the actual age
values of the muscle tissue samples, and a mean absolute error of 6.19 years on the test set. The performance of models was also evaluated on gene expression samples of the skeletal muscles from the Gene expression Genotype-Tissue Expression (GTEx) project. The best model achieved the accuracy of
0.80 with respect to the actual age bin prediction on the external validation set. Furthermore, we demonstrated that aging biomarkers can be used to identify new molecular targets for tissue-specific anti-aging therapies.",1,"Machine Learning on Human Muscle Transcriptomic Data for Biomarker Discovery and Tissue-Specific Drug Target Identification. For the past several decades, research in understanding the molecular basis of human muscle aging has progressed significantly. However, the development of accessible tissue-specific biomarkers of human muscle aging that may be measured to evaluate the effectiveness of therapeutic
interventions is still a major challenge. Here we present a method for tracking age-related changes of human skeletal muscle. We analyzed publicly available gene expression profiles of young and old tissue from healthy donors. Differential gene expression and pathway analysis were performed to
compare signatures of young and old muscle tissue and to preprocess the resulting data for a set of machine learning algorithms. Our study confirms the established mechanisms of human skeletal muscle aging, including dysregulation of cytosolic Ca<sup>2+</sup> homeostasis, PPAR signaling and
neurotransmitter recycling along with IGFR and PI3K-Akt-mTOR signaling. Applying several supervised machine learning techniques, including neural networks, we built a panel of tissue-specific biomarkers of aging. Our predictive model achieved 0.91 Pearson correlation with respect to the actual age
values of the muscle tissue samples, and a mean absolute error of 6.19 years on the test set. The performance of models was also evaluated on gene expression samples of the skeletal muscles from the Gene expression Genotype-Tissue Expression (GTEx) project. The best model achieved the accuracy of
0.80 with respect to the actual age bin prediction on the external validation set. Furthermore, we demonstrated that aging biomarkers can be used to identify new molecular targets for tissue-specific anti-aging therapies."
NG-DTA: Drug-target affinity prediction with n-gram molecular graphs.,38082648,"Drug-target affinity (DTA) prediction is crucial to speed up drug development. The advance in deep learning allows accurate DTA prediction. However, most deep learning methods treat protein as a 1D string which is not informative to models compared to a graph representation. In this paper,
we present a deep-learning-based DTA prediction method called N-gram Graph DTA (NG-DTA) that takes molecular graphs of drugs and n-gram molecular sub-graphs of proteins as inputs which are then processed by graph neural networks (GNNs). Without using any prediction tool for protein structure, NG-DTA
performs better than other methods on two datasets in terms of concordance index (CI) and mean square error (MSE) (CI: 0.905, MSE: 0.196 for the Davis dataset; CI: 0.904, MSE: 0.120 for Kiba dataset). Our results showed that using n-gram molecular sub-graphs of proteins as input improves deep
learning models' performance in DTA prediction.",0,"NG-DTA: Drug-target affinity prediction with n-gram molecular graphs. Drug-target affinity (DTA) prediction is crucial to speed up drug development. The advance in deep learning allows accurate DTA prediction. However, most deep learning methods treat protein as a 1D string which is not informative to models compared to a graph representation. In this paper,
we present a deep-learning-based DTA prediction method called N-gram Graph DTA (NG-DTA) that takes molecular graphs of drugs and n-gram molecular sub-graphs of proteins as inputs which are then processed by graph neural networks (GNNs). Without using any prediction tool for protein structure, NG-DTA
performs better than other methods on two datasets in terms of concordance index (CI) and mean square error (MSE) (CI: 0.905, MSE: 0.196 for the Davis dataset; CI: 0.904, MSE: 0.120 for Kiba dataset). Our results showed that using n-gram molecular sub-graphs of proteins as input improves deep
learning models' performance in DTA prediction."
Co-VAE: Drug-Target Binding Affinity Prediction by Co-Regularized Variational Autoencoders.,34652996,"Identifying drug-target interactions has been a key step in drug discovery. Many computational methods have been proposed to directly determine whether drugs and targets can interact or not. Drug-target binding affinity is another type of data which could show the strength of the binding
interaction between a drug and a target. However, it is more challenging to predict drug-target binding affinity, and thus a very few studies follow this line. In our work, we propose a novel co-regularized variational autoencoders (Co-VAE) to predict drug-target binding affinity based on drug
structures and target sequences. The Co-VAE model consists of two VAEs for generating drug SMILES strings and target sequences, respectively, and a co-regularization part for generating the binding affinities. We theoretically prove that the Co-VAE model is to maximize the lower bound of the joint
likelihood of drug, protein and their affinity. The Co-VAE could predict drug-target affinity and generate new drugs which share similar targets with the input drugs. The experimental results on two datasets show that the Co-VAE could predict drug-target affinity better than existing affinity
prediction methods such as DeepDTA and DeepAffinity, and could generate more new valid drugs than existing methods such as GAN and VAE.",0,"Co-VAE: Drug-Target Binding Affinity Prediction by Co-Regularized Variational Autoencoders. Identifying drug-target interactions has been a key step in drug discovery. Many computational methods have been proposed to directly determine whether drugs and targets can interact or not. Drug-target binding affinity is another type of data which could show the strength of the binding
interaction between a drug and a target. However, it is more challenging to predict drug-target binding affinity, and thus a very few studies follow this line. In our work, we propose a novel co-regularized variational autoencoders (Co-VAE) to predict drug-target binding affinity based on drug
structures and target sequences. The Co-VAE model consists of two VAEs for generating drug SMILES strings and target sequences, respectively, and a co-regularization part for generating the binding affinities. We theoretically prove that the Co-VAE model is to maximize the lower bound of the joint
likelihood of drug, protein and their affinity. The Co-VAE could predict drug-target affinity and generate new drugs which share similar targets with the input drugs. The experimental results on two datasets show that the Co-VAE could predict drug-target affinity better than existing affinity
prediction methods such as DeepDTA and DeepAffinity, and could generate more new valid drugs than existing methods such as GAN and VAE."
Docking and Scoring with Target-Specific Pose Classifier Succeeds in Native-Like Pose Identification But Not Binding Affinity Prediction in the CSAR 2014 Benchmark Exercise.,27050767,"The CSAR 2014 exercise provided an important benchmark for testing current approaches for pose identification and ligand ranking using three X-ray characterized proteins: Factor Xa (FXa), Spleen Tyrosine Kinase (SYK), and tRNA Methyltransferase (TRMD). In Phase 1 of the exercise, we
employed Glide and MedusaDock docking software, both individually and in combination, with the special target-specific pose classifier trained to discriminate native-like from decoy poses. All approaches succeeded in the accurate detection of native and native-like poses. We then used Glide SP and
MedusaScore scoring functions individually and in combination with the pose-scoring approach to predict relative binding affinities of the congeneric series of ligands in Phase 2 of the exercise. Similar to other participants in the CSAR 2014 exercise, we found that our models showed modest
prediction accuracy. Quantitative structure-activity relationship (QSAR) models developed for the FXa ligands using available bioactivity data from ChEMBL showed relatively low prediction accuracy for the CSAR 2014 ligands of the same target. Interestingly, QSAR models built with CSAR data only
yielded Spearman correlation coefficients as high as ρ = 0.69 for FXa and ρ = 0.79 for SYK based on 5-fold cross-validation. Virtual screening of the DUD library using the FXa structure was successful in discriminating between active compounds and decoys in spite of poor ranking accuracy of the
underlying scoring functions. Our results suggest that two of the three common tasks associated with molecular docking, i.e., native-like pose identification and virtual screening, but not binding affinity prediction, could be accomplished successfully for the CSAR 2014 challenge data set.",1,"Docking and Scoring with Target-Specific Pose Classifier Succeeds in Native-Like Pose Identification But Not Binding Affinity Prediction in the CSAR 2014 Benchmark Exercise. The CSAR 2014 exercise provided an important benchmark for testing current approaches for pose identification and ligand ranking using three X-ray characterized proteins: Factor Xa (FXa), Spleen Tyrosine Kinase (SYK), and tRNA Methyltransferase (TRMD). In Phase 1 of the exercise, we
employed Glide and MedusaDock docking software, both individually and in combination, with the special target-specific pose classifier trained to discriminate native-like from decoy poses. All approaches succeeded in the accurate detection of native and native-like poses. We then used Glide SP and
MedusaScore scoring functions individually and in combination with the pose-scoring approach to predict relative binding affinities of the congeneric series of ligands in Phase 2 of the exercise. Similar to other participants in the CSAR 2014 exercise, we found that our models showed modest
prediction accuracy. Quantitative structure-activity relationship (QSAR) models developed for the FXa ligands using available bioactivity data from ChEMBL showed relatively low prediction accuracy for the CSAR 2014 ligands of the same target. Interestingly, QSAR models built with CSAR data only
yielded Spearman correlation coefficients as high as ρ = 0.69 for FXa and ρ = 0.79 for SYK based on 5-fold cross-validation. Virtual screening of the DUD library using the FXa structure was successful in discriminating between active compounds and decoys in spite of poor ranking accuracy of the
underlying scoring functions. Our results suggest that two of the three common tasks associated with molecular docking, i.e., native-like pose identification and virtual screening, but not binding affinity prediction, could be accomplished successfully for the CSAR 2014 challenge data set."
Deep drug-target binding affinity prediction with multiple attention blocks.,33866349,"Drug-target interaction (DTI) prediction has drawn increasing interest due to its substantial position in the drug discovery process. Many studies have introduced computational models to treat DTI prediction as a regression task, which directly predict the binding affinity of drug-target
pairs. However, existing studies (i) ignore the essential correlations between atoms when encoding drug compounds and (ii) model the interaction of drug-target pairs simply by concatenation. Based on those observations, in this study, we propose an end-to-end model with multiple attention blocks to
predict the binding affinity scores of drug-target pairs. Our proposed model offers the abilities to (i) encode the correlations between atoms by a relation-aware self-attention block and (ii) model the interaction of drug representations and target representations by the multi-head attention block.
Experimental results of DTI prediction on two benchmark datasets show our approach outperforms existing methods, which are benefit from the correlation information encoded by the relation-aware self-attention block and the interaction information extracted by the multi-head attention block.
Moreover, we conduct the experiments on the effects of max relative position length and find out the best max relative position length value $k \in \{3, 5\}$. Furthermore, we apply our model to predict the binding affinity of Corona Virus Disease 2019 (COVID-19)-related genome sequences and $3137$
FDA-approved drugs.",0,"Deep drug-target binding affinity prediction with multiple attention blocks. Drug-target interaction (DTI) prediction has drawn increasing interest due to its substantial position in the drug discovery process. Many studies have introduced computational models to treat DTI prediction as a regression task, which directly predict the binding affinity of drug-target
pairs. However, existing studies (i) ignore the essential correlations between atoms when encoding drug compounds and (ii) model the interaction of drug-target pairs simply by concatenation. Based on those observations, in this study, we propose an end-to-end model with multiple attention blocks to
predict the binding affinity scores of drug-target pairs. Our proposed model offers the abilities to (i) encode the correlations between atoms by a relation-aware self-attention block and (ii) model the interaction of drug representations and target representations by the multi-head attention block.
Experimental results of DTI prediction on two benchmark datasets show our approach outperforms existing methods, which are benefit from the correlation information encoded by the relation-aware self-attention block and the interaction information extracted by the multi-head attention block.
Moreover, we conduct the experiments on the effects of max relative position length and find out the best max relative position length value $k \in \{3, 5\}$. Furthermore, we apply our model to predict the binding affinity of Corona Virus Disease 2019 (COVID-19)-related genome sequences and $3137$
FDA-approved drugs."
