PMID,text,Experimental
37762364,"A Robust Drug-Target Interaction Prediction Framework with Capsule Network and Transfer Learning.. Drug-target interactions (DTIs) are considered a crucial component of drug design and drug discovery. To date, many computational methods were developed for drug-target interactions, but they are insufficiently informative for accurately predicting DTIs due to the lack of experimentally
verified negative datasets, inaccurate molecular feature representation, and ineffective DTI classifiers. Therefore, we address the limitations of randomly selecting negative DTI data from unknown drug-target pairs by establishing two experimentally validated datasets and propose a capsule
network-based framework called CapBM-DTI to capture hierarchical relationships of drugs and targets, which adopts pre-trained bidirectional encoder representations from transformers (BERT) for contextual sequence feature extraction from target proteins through transfer learning and the
message-passing neural network (MPNN) for the 2-D graph feature extraction of compounds to accurately and robustly identify drug-target interactions. We compared the performance of CapBM-DTI with state-of-the-art methods using four experimentally validated DTI datasets of different sizes, including
human (<i>Homo sapiens</i>) and worm (<i>Caenorhabditis elegans</i>) species datasets, as well as three subsets (new compounds, new proteins, and new pairs). Our results demonstrate that the proposed model achieved robust performance and powerful generalization ability in all experiments. The case
study on treating COVID-19 demonstrates the applicability of the model in virtual screening.",0
38144565,"Exploration and validation of key genes associated with early lymph node metastasis in thyroid carcinoma using weighted gene co-expression network analysis and machine learning.. Thyroid carcinoma (THCA), the most common endocrine neoplasm, typically exhibits an indolent behavior. However, in some instances, lymph node metastasis (LNM) may occur in the early stages, with the underlying mechanisms not yet fully understood. LNM potential was defined as the tumor's
capability to metastasize to lymph nodes at an early stage, even when the tumor volume is small. We performed differential expression analysis using the 'Limma' R package and conducted enrichment analyses using the Metascape tool. Co-expression networks were established using the 'WGCNA' R package,
with the soft threshold power determined by the 'pickSoftThreshold' algorithm. For unsupervised clustering, we utilized the 'ConsensusCluster Plus' R package. To determine the topological features and degree centralities of each node (protein) within the Protein-Protein Interaction (PPI) network, we
used the CytoNCA plugin integrated with the Cytoscape tool. Immune cell infiltration was assessed using the Immune Cell Abundance Identifier (ImmuCellAI) database. We applied the Least Absolute Shrinkage and Selection Operator (LASSO), Support Vector Machine (SVM), and Random Forest (RF) algorithms
individually, with the 'glmnet,' 'e1071,' and 'randomForest' R packages, respectively. Ridge regression was performed using the 'oncoPredict' algorithm, and all the predictions were based on data from the Genomics of Drug Sensitivity in Cancer (GDSC) database. To ascertain the protein expression
levels and subcellular localization of genes, we consulted the Human Protein Atlas (HPA) database. Molecular docking was carried out using the mcule 1-click Docking server online. Experimental validation of gene and protein expression levels was conducted through Real-Time Quantitative PCR (RT-qPCR)
and immunohistochemistry (IHC) assays. Through WGCNA and PPI network analysis, we identified twelve hub genes as the most relevant to LNM potential from these two modules. These 12 hub genes displayed differential expression in THCA and exhibited significant correlations with the downregulation of
neutrophil infiltration, as well as the upregulation of dendritic cell and macrophage infiltration, along with activation of the EMT pathway in THCA. We propose a novel molecular classification approach and provide an online web-based nomogram for evaluating the LNM potential of THCA
(http://www.empowerstats.net/pmodel/?m=17617_LNM). Machine learning algorithms have identified ERBB3 as the most critical gene associated with LNM potential in THCA. ERBB3 exhibits high expression in patients with THCA who have experienced LNM or have advanced-stage disease. The differential
methylation levels partially explain this differential expression of ERBB3. ROC analysis has identified ERBB3 as a diagnostic marker for THCA (AUC=0.89), THCA with high LNM potential (AUC=0.75), and lymph nodes with tumor metastasis (AUC=0.86). We have presented a comprehensive review of endocrine
disruptor chemical (EDC) exposures, environmental toxins, and pharmacological agents that may potentially impact LNM potential. Molecular docking revealed a docking score of -10.1 kcal/mol for Lapatinib and ERBB3, indicating a strong binding affinity. In conclusion, our study, utilizing
bioinformatics analysis techniques, identified gene modules and hub genes influencing LNM potential in THCA patients. ERBB3 was identified as a key gene with therapeutic implications. We have also developed a novel molecular classification approach and a user-friendly web-based nomogram tool for
assessing LNM potential. These findings pave the way for investigations into the mechanisms underlying differences in LNM potential and provide guidance for personalized clinical treatment plans.",1
33868209,"An Inductive Logistic Matrix Factorization Model for Predicting Drug-Metabolite Association With Vicus Regularization.. Metabolites are closely related to human disease. The interaction between metabolites and drugs has drawn increasing attention in the field of pharmacomicrobiomics. However, only a small portion of the drug-metabolite interactions were experimentally observed due to the fact that
experimental validation is labor-intensive, costly, and time-consuming. Although a few computational approaches have been proposed to predict latent associations for various bipartite networks, such as miRNA-disease, drug-target interaction networks, and so on, to our best knowledge the associations
between drugs and metabolites have not been reported on a large scale. In this study, we propose a novel algorithm, namely inductive logistic matrix factorization (ILMF) to predict the latent associations between drugs and metabolites. Specifically, the proposed ILMF integrates drug-drug
interaction, metabolite-metabolite interaction, and drug-metabolite interaction into this framework, to model the probability that a drug would interact with a metabolite. Moreover, we exploit inductive matrix completion to guide the learning of projection matrices <i>U</i> and <i>V</i> that depend
on the low-dimensional feature representation matrices of drugs and metabolites: <i>F<sup>m</sup></i> and <i>F<sup>d</sup></i> . These two matrices can be obtained by fusing multiple data sources. Thus, <i>F<sup>d</sup></i> <i>U</i> and <i>F<sup>m</sup></i> <i>V</i> can be viewed as drug-specific
and metabolite-specific latent representations, different from classical LMF. Furthermore, we utilize the Vicus spectral matrix that reveals the refined local geometrical structure inherent in the original data to encode the relationships between drugs and metabolites. Extensive experiments are
conducted on a manually curated ""DrugMetaboliteAtlas"" dataset. The experimental results show that ILMF can achieve competitive performance compared with other state-of-the-art approaches, which demonstrates its effectiveness in predicting potential drug-metabolite associations.",0
32537482,"Screening and druggability analysis of some plant metabolites against SARS-CoV-2: An integrative computational approach.. The sudden outbreak of novel coronavirus has caused a global concern due to its infection rate and mortality. Despite extensive research, there are still no specific drugs or vaccines to combat SARS-CoV-2 infection. Hence, this study was designed to evaluate some plant-based active
compounds for drug candidacy against SARS-CoV-2 by using virtual screening methods and various computational analyses. A total of 27 plant metabolites were screened against SARS-CoV-2 main protease proteins (MPP), Nsp9 RNA binding protein, spike receptor binding domain, spike ecto-domain and HR2
domain using a molecular docking approach. Four metabolites, i.e., asiatic acid, avicularin, guajaverin, and withaferin showed maximum binding affinity with all key proteins in terms of lowest global binding energy. The crucial binding sites and drug surface hotspots were unravelled for each viral
protein. The top candidates were further employed for ADME (absorption, distribution, metabolism, and excretion) analysis to investigate their drug profiles. Results suggest that none of the compounds render any undesirable consequences that could reduce their drug likeness properties. The analysis
of toxicity pattern revealed no significant tumorigenic, mutagenic, irritating, or reproductive effects by the compounds. However, withaferin was comparatively toxic among the top four candidates with considerable cytotoxicity and immunotoxicity. Most of the target class by top drug candidates
belonged to enzyme groups (e.g. oxidoreductases hydrolases, phosphatases). Moreover, results of drug similarity prediction revealed two approved structural analogs of Asiatic acid i.e. Hydrocortisone (DB00741) (previously used for SARS-CoV-1 and MERS) and Dinoprost-tromethamine (DB01160) from
DrugBank. In addition, two other biologically active compounds, Mupirocin (DB00410) and Simvastatin (DB00641) could be an option for the treatment of viral infections. The study may pave the way to develop effective medications and preventive measure against SARS-CoV-2. Due to the encouraging
results, we highly recommend further <i>in vivo</i> trials for the experimental validation of our findings.",0
36827526,"Machine Learning Guided Design of High-Affinity ACE2 Decoys for SARS-CoV-2 Neutralization.. A potential therapeutic strategy for neutralizing SARS-CoV-2 infection is engineering high-affinity soluble ACE2 decoy proteins to compete for binding to the viral spike (S) protein. Previously, a deep mutational scan of ACE2 was performed and has led to the identification of a triple
mutant variant, named sACE2<sub>2</sub>.v.2.4, that exhibits subnanomolar affinity to the receptor-binding domain (RBD) of S. Using a recently developed transfer learning algorithm, TLmutation, we sought to identify other ACE2 variants that may exhibit similar binding affinity with decreased
mutational load. Upon training a TLmutation model on the effects of single mutations, we identified multiple ACE2 double mutants that bind SARS-CoV-2 S with tighter affinity as compared to the wild type, most notably L79V;N90D that binds RBD similarly to ACE2<sub>2</sub>.v.2.4. The experimental
validation of the double mutants successfully demonstrates the use of machine learning approaches for engineering protein-protein interactions and identifying high-affinity ACE2 peptides for targeting SARS-CoV-2.",1
25058446,"Prediction of binding affinity and efficacy of thyroid hormone receptor ligands using QSAR and structure-based modeling methods.. The thyroid hormone receptor (THR) is an important member of the nuclear receptor family that can be activated by endocrine disrupting chemicals (EDC). Quantitative Structure-Activity Relationship (QSAR) models have been developed to facilitate the prioritization of THR-mediated EDC for
the experimental validation. The largest database of binding affinities available at the time of the study for ligand binding domain (LBD) of THRβ was assembled to generate both continuous and classification QSAR models with an external accuracy of R(2)=0.55 and CCR=0.76, respectively. In addition,
for the first time a QSAR model was developed to predict binding affinities of antagonists inhibiting the interaction of coactivators with the AF-2 domain of THRβ (R(2)=0.70). Furthermore, molecular docking studies were performed for a set of THRβ ligands (57 agonists and 15 antagonists of LBD, 210
antagonists of the AF-2 domain, supplemented by putative decoys/non-binders) using several THRβ structures retrieved from the Protein Data Bank. We found that two agonist-bound THRβ conformations could effectively discriminate their corresponding ligands from presumed non-binders. Moreover, one of
the agonist conformations could discriminate agonists from antagonists. Finally, we have conducted virtual screening of a chemical library compiled by the EPA as part of the Tox21 program to identify potential THRβ-mediated EDCs using both QSAR models and docking. We concluded that the library is
unlikely to have any EDC that would bind to the THRβ. Models developed in this study can be employed either to identify environmental chemicals interacting with the THR or, conversely, to eliminate the THR-mediated mechanism of action for chemicals of concern.",0
23757409,"Drug repurposing: mining protozoan proteomes for targets of known bioactive compounds.. To identify potential opportunities for drug repurposing by developing an automated approach to pre-screen the predicted proteomes of any organism against databases of known drug targets using only freely available resources. We employed a combination of Ruby scripts that leverage data
from the DrugBank and ChEMBL databases, MySQL, and BLAST to predict potential drugs and their targets from 13 published genomes. Results from a previous cell-based screen to identify inhibitors of Cryptosporidium parvum growth were used to validate our in-silico prediction method. In-vitro
validation of these results, using a cell-based C parvum growth assay, showed that the predicted inhibitors were significantly more likely than expected by chance to have confirmed activity, with 8.9-15.6% of predicted inhibitors confirmed depending on the drug target database used. This method was
then used to predict inhibitors for the following 13 disease-causing protozoan parasites, including: C parvum, Entamoeba histolytica, Giardia intestinalis, Leishmania braziliensis, Leishmania donovani, Leishmania major, Naegleria gruberi (in proxy of Naegleria fowleri), Plasmodium falciparum,
Plasmodium vivax, Toxoplasma gondii, Trichomonas vaginalis, Trypanosoma brucei and Trypanosoma cruzi. Although proteome-wide screens for drug targets have disadvantages, in-silico methods can be developed that are fast, broad, inexpensive, and effective. In-vitro validation of our results for C
parvum indicate that the method presented here can be used to construct a library for more directed small molecule screening, or pipelined into structural modeling and docking programs to facilitate target-based drug development.",1
33352214,"A comprehensive screening of the whole proteome of hantavirus and designing a multi-epitope subunit vaccine for cross-protection against hantavirus: Structural vaccinology and immunoinformatics study.. Hantaviruses are an emerging zoonotic group of rodent-borne viruses that are having serious implications on global public health due to the increase in outbreaks. Since there is no permanent cure, there is increasing interest in developing a vaccine against the hantavirus. This research
aimed to design a robust cross-protective subunit vaccine using a novel immunoinformatics approach. After careful evaluation, the best predicted cytotoxic & helper T-cell and B-cell epitopes from nucleocapsid proteins, glycoproteins, RdRp proteins, and non-structural proteins were considered as
potential vaccine candidates. Among the four generated vaccine models with different adjuvant, the model with toll-like receptor-4 (TLR-4) agonist adjuvant was selected because of its high antigenicity, non-allergenicity, and structural quality. The selected model was 654 amino acids long and had a
molecular weight of 70.5 kDa, which characterizes the construct as a good antigenic vaccine candidate. The prediction of the conformational B-lymphocyte (CBL) epitope secured its ability to induce the humoral response. Thereafter, disulfide engineering improved vaccine stability. Afterwards, the
molecular docking confirmed a good binding affinity of -1292 kj/mol with considered immune receptor TLR-4 and the dynamics simulation showed high stability of the vaccine-receptor complex. Later, the in silico cloning confirmed the better expression of the constructed vaccine protein in E. coli K12.
Finally, in in silico immune simulation, significantly high levels of immunoglobulin M (IgM), immunoglobulin G1 (IgG1), cytotoxic & helper T lymphocyte (CTL & HTL) populations, and numerous cytokines such as interferon-γ (IFN-γ), interleukin-2 (IL-2) etc. were found as coherence with actual immune
response and also showed faster antigen clearance for repeated exposures. Nonetheless, experimental validation can demonstrate the safety and cross-protective ability of the proposed vaccine to fight against hantavirus infection.",0
32241274,"SCNrank: spectral clustering for network-based ranking to reveal potential drug targets and its application in pancreatic ductal adenocarcinoma.. Pancreatic ductal adenocarcinoma (PDAC) is the most common pancreatic malignancy. Due to its wide heterogeneity, PDAC acts aggressively and responds poorly to most chemotherapies, causing an urgent need for the development of new therapeutic strategies. Cell lines have been used as the
foundation for drug development and disease modeling. CRISPR-Cas9 plays a key role in every step-in drug discovery: from target identification and validation to preclinical cancer cell testing. Using cell-line models and CRISPR-Cas9 technology together make drug target prediction feasible. However,
there is still a large gap between predicted results and actionable targets in real tumors. Biological network models provide great modus to mimic genetic interactions in real biological systems, which can benefit gene perturbation studies and potential target identification for treating PDAC.
Nevertheless, building a network model that takes cell-line data and CRISPR-Cas9 data as input to accurately predict potential targets that will respond well on real tissue remains unsolved. We developed a novel algorithm 'Spectral Clustering for Network-based target Ranking' (SCNrank) that
systematically integrates three types of data: expression profiles from tumor tissue, normal tissue and cell-line PDAC; protein-protein interaction network (PPI); and CRISPR-Cas9 data to prioritize potential drug targets for PDAC. The whole algorithm can be classified into three steps: 1. using
STRING PPI network skeleton, SCNrank constructs tissue-specific networks with PDAC tumor and normal pancreas tissues from expression profiles; 2. With the same network skeleton, SCNrank constructs cell-line-specific networks using the cell-line PDAC expression profiles and CRISPR-Cas 9 data from
pancreatic cancer cell-lines; 3. SCNrank applies a novel spectral clustering approach to reduce data dimension and generate gene clusters that carry common features from both networks. Finally, SCNrank applies a scoring scheme called 'Target Influence score' (TI), which estimates a given target's
influence towards the cluster it belongs to, for scoring and ranking each drug target. We applied SCNrank to analyze 263 expression profiles, CRPSPR-Cas9 data from 22 different pancreatic cancer cell-lines and the STRING protein-protein interaction (PPI) network. With SCNrank, we successfully
constructed an integrated tissue PDAC network and an integrated cell-line PDAC network, both of which contain 4414 selected genes that are overexpressed in tumor tissue samples. After clustering, 4414 genes are distributed into 198 clusters, which include 367 targets of FDA approved drugs. These
drug targets are all scored and ranked by their TI scores, which we defined to measure their influence towards the network. We validated top-ranked targets in three aspects: Firstly, mapping them onto the existing clinical drug targets of PDAC to measure the concordance. Secondly, we performed
enrichment analysis to these drug targets and the clusters there are within, to reveal functional associations between clusters and PDAC; Thirdly, we performed survival analysis for the top-ranked targets to connect targets with clinical outcomes. Survival analysis reveals that overexpression of
three top-ranked genes, PGK1, HMMR and POLE2, significantly increases the risk of death in PDAC patients. SCNrank is an unbiased algorithm that systematically integrates multiple types of omics data to do potential drug target selection and ranking. SCNrank shows great capability in predicting drug
targets for PDAC. Pancreatic cancer-associated gene candidates predicted by our SCNrank approach have the potential to guide genetics-based anti-pancreatic drug discovery.",0
36044117,"Mechanism of Key Ingredient of Astragalus membranaceus on Lung Adenocarcinoma via PI3K/AKT Signaling Clarified by Utilizing Network Pharmacology Approach and Experimental Validation.. To investigate the mechanism of the effect of Astragalus membranaceus (A. membranaceus) on lung adenocarcinoma at the molecular level to elucidate the specific targets according to the network pharmacology approach. The active components of A. membranaceus and their potential targets were
collected from the Traditional Chinese Medicine Systems Pharmacology Database. Lung adenocarcinoma-associated genes were acquired based on GeneCards, Online Mendelian Inheritance in Man (OMIM), PharmGKB, and Therapeutic Targets databases. The PI3K/AKT signaling pathway-related genes were obtained
using Reactome portal. Networks of ""ingredient-target"" and ""ingredient-target-pathway-disease"" were constructed using the Cytoscape3.6.0 software. The relationships among targets were analyzed according protein-protein interaction (PPI) network. Finally, molecular docking was applied to construct
the binding conformation between active ingredients and core targets. Cell counting kit 8 (CCK8) and Western blot assays were performed to determine the mechanism of the key ingredient of A. membranaceus. A total of 20 active components and their 329 targets, and 7,501 lung adenocarcinoma-related
genes and 130 PI3K/AKT signaling pathway-related genes were obtained. According to Venn diagram and PPI network analysis, 2 mainly active ingredients, including kaempferol and quercetin, and 6 core targets, including TP53, MAPK1, EGF, AKT1, ERBB2, and EGFR, were identified. The two important active
ingredients of A. membranaceus, kaempferol and quercetin, exert the therapeutic effect in lung adenocarcinoma partly by acting on the 6 core targets (TP53, MAPK1, EGF, AKT1, ERBB2, and EGFR) of PI3K/AKT signaling pathway. Expressions of potential targets in lung adenocarcinoma and normal samples
were analyzed by using UALCAN portal and found that ERBB2 was overexpressed in lung adenocarcinoma tissues and upregulation of it correlated with clinicopathological characteristics. Finally, quercetin repressed viabilities of lung adenocarcinoma cells by targeting ERBB2 on PI3K/AKT signaling
confirmed by CCK8 and Western blot. Our finding unraveled that an active ingredient of A. membranaceus, quercetin, significantly inhibited the lung adenocarcinoma cells proliferation by repressing ERBB2 level and inactivating the PI3K/AKT signaling pathway.",1
37453362,"Drug approval prediction based on the discrepancy in gene perturbation effects between cells and humans.. Poor translation between in vitro and clinical studies due to the cells/humans discrepancy in drug target perturbation effects leads to safety failures in clinical trials, thus increasing drug development costs and reducing patients' life quality. Therefore, developing a predictive model
for drug approval considering the cells/humans discrepancy is needed to reduce drug attrition rates in clinical trials. Our machine learning framework predicts drug approval in clinical trials based on the cells/humans discrepancy in drug target perturbation effects. To evaluate the discrepancy to
predict drug approval (1404 approved and 1070 unapproved drugs), we analysed CRISPR-Cas9 knockout and loss-of-function mutation rate-based gene perturbation effects on cells and humans, respectively. To validate the risk of drug targets with the cells/humans discrepancy, we examined the targets of
failed and withdrawn drugs due to safety problems. Drug approvals in clinical trials were correlated with the cells/humans discrepancy in gene perturbation effects. Genes tolerant to perturbation effects on cells but intolerant to those on humans were associated with failed drug targets.
Furthermore, genes with the cells/humans discrepancy were related to drugs withdrawn due to severe side effects. Motivated by previous studies assessing drug safety through chemical properties, we improved drug approval prediction by integrating chemical information with the cells/humans
discrepancy. The cells/humans discrepancy in gene perturbation effects facilitates drug approval prediction and explains drug safety failures in clinical trials. S.K. received grants from the Korean National Research Foundation (2021R1A2B5B01001903 and 2020R1A6A1A03047902) and IITP (2019-0-01906,
Artificial Intelligence Graduate School Program, POSTECH).",0
33658761,"Danggui Buxue Decoction in the Treatment of Metastatic Colon Cancer: Network Pharmacology Analysis and Experimental Validation.. This study aimed to reveal Danggui Buxue Decoction (DBD) candidate targets and mechanisms in the treatment of metastatic colon cancer (MCC), using network pharmacology-based analyses and experimental validation. Traditional Chinese Medicine Systems Pharmacology (TCMSP) database query and
text mining were used to screen active compounds in DBD, and the Swiss target prediction platform was applied to predict compound-related target proteins. Targets likely associated with MCC were determined using GeneCards and OMIM databases. Targets common to DBD and MCC were obtained from the Venn
platform; subsequently, Cytoscape was used to construct drug-compound-target-disease and protein-protein interaction networks. The hub gene was determined by R, while GO and KEGG enrichment analyses were performed on common targets to elucidate biological processes and signaling pathways involved in
DBD against MCC. Finally, the metastatic colon cancer mouse model was used to detect the levels of expression of protein Bax, Bcl2, Caspase3, and Cleaved caspase3 by Western blot. A total of 28 active compounds and 61 common targets were predicted. The main compounds were quercetin, hederagenin,
jaranol, methylnissolin, formononetin, calycosin, kaempferol, 3.9-di-O-methylnissolin, 24-propylcholesterol, and 7-O-methylisomucronulatol, present in Astragalus membranaceus (Huangqi, HQ). In addition, beta-sitosterol, ferulic acid, and stigmasterol, present in Angelica sinensis (Danggui, DG), were
detected. JUN, PTSG2, EGFR, ESR1and, CASP3 genes were the top 5 hub genes in the PPI network. GO and KEGG enrichment analyses indicated that apoptosis played a major role in the biological processes and signaling pathways involved. Moreover, the in vivo experiment revealed that DBD inhibited MCC by
up-regulating the expression of Bax, Caspase3, and Cleaved caspase3, and by down-regulating the expression of Bcl2. This study revealed candidate DBD targets and mechanisms in the treatment of MCC, using network pharmacology-based analyses and experimental validation. The present findings provide a
reference for tumor treatment during the perioperative period.",1
34246738,"A new strategy for discovering effective substances and mechanisms of traditional Chinese medicine based on standardized drug containing plasma and the absorbed ingredients composition, a case study of Xian-Ling-Gu-Bao capsules.. The overall therapeutic effect of traditional Chinese medicine formulae (TCMF) was achieved by the interactions of multiple components with multiple targets. However, current pharmacology research strategies have struggled to identify effective substance groups and encountered challenges
in elucidating the underlying mechanisms of TCMF. In this study, a comprehensive strategy was proposed and applied to elucidate the interactions of the multiple components that underlie the functions of the famous TCMF: Xian-Ling-Gu-Bao (XLGB) capsule on bone metabolism in vivo and to elucidate the
molecular mechanisms underlying the effects of XLGB on bone cells, especially on osteoblasts. The efficacy of XLGB in the protection against bones loss in ovariectomized (OVX) rats was confirmed by Micro-CT analysis. The anti-osteoporosis mechanism involved in the systemic regulatory actions of XLGB
was elucidated by transcriptome sequencing analysis on bone marrow mesenchymal stem cells isolated from OVX rats. Moreover, the components absorbed in XLGB-treated plasma were characterized by mass spectrometry analysis, and subsequently, a standardized preparation process of drug-containing plasma
was established. The synergistic osteogenic effect of the multiple components in plasma was investigated by a combination and then knockout of components using pre-osteoblast MC3T3-E1 cells. In order to decipher the underlying mechanism of XLGB, the targets of the absorbed components on bone were
predicted by target prediction and network pharmacology analysis, then several interactions were validated by biochemical and cell-based assay. A total of 18 genes, including HDC, CXCL1/2, TNF, IL6 and Il1b, were newly found to be the major target genes regulated by XLGB. Interestingly, we found
that a combination of the three absorbed components, i.e. MSP, rather than their single form at the same concentration, stimulated the formation of calcified nodules in MC3T3-E1 cells, suggesting a synergistic effect of these components. Besides, target prediction and experimental validation
confirmed the binding affinity of corylin and icaritin for estrogen receptor α and β, the inhibitory activity of isobavachin and isobavachalcone on glycogen synthase kinase-3β, and the inhibitory activity of isobavachalcone on cathepsin K. The cell-based assay further confirmed the result of the
biochemical assay. A network that integrated absorbed components of XLGB-targets-perturbation genes-pathways against osteoporosis was established. Our current study provides a new systemic strategy for discovering active ingredient groups of TCM formulae and understanding their underlying
mechanisms.",1
37812388,"Optimization of drug-target affinity prediction methods through feature processing schemes.. Numerous high-accuracy drug-target affinity (DTA) prediction models, whose performance is heavily reliant on the drug and target feature information, are developed at the expense of complexity and interpretability. Feature extraction and optimization constitute a critical step that
significantly influences the enhancement of model performance, robustness, and interpretability. Many existing studies aim to comprehensively characterize drugs and targets by extracting features from multiple perspectives; however, this approach has drawbacks: (i) an abundance of redundant or noisy
features; and (ii) the feature sets often suffer from high dimensionality. In this study, to obtain a model with high accuracy and strong interpretability, we utilize various traditional and cutting-edge feature selection and dimensionality reduction techniques to process self-associated features
and adjacent associated features. These optimized features are then fed into learning to rank to achieve efficient DTA prediction. Extensive experimental results on two commonly used datasets indicate that, among various feature optimization methods, the regression tree-based feature selection
method is most beneficial for constructing models with good performance and strong robustness. Then, by utilizing Shapley Additive Explanations values and the incremental feature selection approach, we obtain that the high-quality feature subset consists of the top 150D features and the top 20D
features have a breakthrough impact on the DTA prediction. In conclusion, our study thoroughly validates the importance of feature optimization in DTA prediction and serves as inspiration for constructing high-performance and high-interpretable models. https://github.com/RUXIAOQING964914140/FS_DTA.",0
32325182,"Network pharmacology approach to elucidate possible action mechanisms of Sinomenii Caulis for treating osteoporosis.. Sinomenii Caulis (SC) is a well-konwn traditional Chinese medicine used for treatment of rheumatoid arthritis (RA), dermatophytosis and paralysis. Patients with RA are usually secondary to osteoporosis, but the potential protective effect of SC on osteoporosis (OP) is seldom reported and
its possible action mechanism is little known. The purpose of this study was to demonstrate the anti-osteoporosis effects of SC extract and alkaloids in prednisolone (Pre)-induced OP of zebrafish, and then to explore the potential mechanism of SC on system level by network pharmacology. Firstly,
zebrafish OP model was established to investigate the anti-osteoporosis effect of SC. Secondly, the targets of SC and OP from multiple databases were collected, and Compound-Target-Pathway network based on protein-protein interaction (PPI) was constructed. Moreover, gene enrichment and annotation
were performed via the DAVID server. Finally, the reliability of the network pharmacology prediction results in Pre-induced OP of zebrafish was verified by qRT-PCR. The results indicated that SC extract and alkaloids have remarkable ability to promote bone formation of cranial bones and reduce TRAP
contents in Pre-induced OP of zebrafish. 32 OP-related ingredients in SC and 77 OP-related targets were screened from multiple databases, and 15 OP-related pathways were enriched by the KEGG database. Further experimental validation indicated that SC extract and alkaloids could regulate the
expression of MAPK14, CASP3, CXCL8, IL-1β, IL6, PTGS2, TNF-α, ESR1, and MMP9 for treatment of OP. In summary, we conducted an integrative analysis to provide convincing evidence that SC may partially alleviate OP by inhibiting pro-inflammatory cytokines and regulating of RANK/RANKL/OPG system.",1
35013211,"Prediction of biomarkers and therapeutic combinations for anti-PD-1 immunotherapy using the global gene network association.. Owing to a lack of response to the anti-PD1 therapy for most cancer patients, we develop a network approach to infer genes, pathways, and potential therapeutic combinations that are associated with tumor response to anti-PD1. Here, our prediction identifies genes and pathways known to be
associated with anti-PD1, and is further validated by 6 CRISPR gene sets associated with tumor resistance to cytotoxic T cells and targets of the 36 compounds that have been tested in clinical trials for combination treatments with anti-PD1. Integration of our top prediction and TCGA data identifies
hundreds of genes whose expression and genetic alterations that could affect response to anti-PD1 in each TCGA cancer type, and the comparison of these genes across cancer types reveals that the tumor immunoregulation associated with response to anti-PD1 would be tissue-specific. In addition, the
integration identifies the gene signature to calculate the MHC I association immunoscore (MIAS) that shows a good correlation with patient response to anti-PD1 for 411 melanoma samples complied from 6 cohorts. Furthermore, mapping drug target data to the top genes in our association prediction
identifies inhibitors that could potentially enhance tumor response to anti-PD1, such as inhibitors of the encoded proteins of CDK4, GSK3B, and PTK2.",0
38082648,"NG-DTA: Drug-target affinity prediction with n-gram molecular graphs.. Drug-target affinity (DTA) prediction is crucial to speed up drug development. The advance in deep learning allows accurate DTA prediction. However, most deep learning methods treat protein as a 1D string which is not informative to models compared to a graph representation. In this paper,
we present a deep-learning-based DTA prediction method called N-gram Graph DTA (NG-DTA) that takes molecular graphs of drugs and n-gram molecular sub-graphs of proteins as inputs which are then processed by graph neural networks (GNNs). Without using any prediction tool for protein structure, NG-DTA
performs better than other methods on two datasets in terms of concordance index (CI) and mean square error (MSE) (CI: 0.905, MSE: 0.196 for the Davis dataset; CI: 0.904, MSE: 0.120 for Kiba dataset). Our results showed that using n-gram molecular sub-graphs of proteins as input improves deep
learning models' performance in DTA prediction.",0
38052370,"Network pharmacology-based elucidation of bioactive compounds and experimental exploration of antidiabetic mechanisms of Hydrolea zeylanica.. This investigation systematically explored the underlying antidiabetic mechanism of Hydrolea zeylanica (HZH) by the approach of network pharmacology and experimental validation in restoring glucose homeostasis, and inflammation in high fat diet fed-streptozotocin (HFD/STZ)-induced type II
diabetes (T2DM) rats. Network pharmacology analysis was conducted on 32 bioactive components of HZH. In silico ADME prediction, and physicochemical analysis of 32 compounds were used to assess their drug-likeness. Common targets between selected compounds, and T2DM were subjected for GO enrichment.
Compound-target-pathway network was predicted with selected compounds and targets. HZH (300 and 400 mg/kg) were considered for GLUTs expression, and inflammation cytokines in T2DM rats. Network pharmacology showed the core relationship between 13 selected compounds, and 194 key target genes in
insulin resistance, type II diabetes mellitus, insulin signaling pathways in T2DM. AKT1, AKT2, GSK3B, IL6, INSR, MAPK8, PPARA, GLUT1, GLUT2, GLUT4 were observed as the key targets in PPI network. HZH-400 significantly restored glucose homeostasis, and inflammatory markers in T2DM rats. It altered
GLUT2, GLUT4 expression in liver, and skeletal muscle to normal. Bioactive compounds of HZH were found to control blood sugar level by modulating insulin resistance, type II diabetes mellitus, insulin signaling pathways, and glucose homeostasis, which in turn improved glucose uptake, insulin
production in diabetes as shown in network pharmacology and glucose transporter expression studies.",1
